"","time","S","I1","R1","I2","R2","I.total","total.birds","I.Prop","B"
"88",87,70.8708796948027,0.440420616536882,2.38152828993625,0.0283003426170705,1.12126407771273,0.468720959153953,74.8423930216056,0.00626277354625261,"0.004125"
"89",88,71.9138147400315,0.445107913899977,2.3444385719479,0.027421450876572,1.11167754255793,0.472529364776548,75.8424602193139,0.00623040660086887,"0.004125"
"90",89,72.9674982583737,0.451567832842477,2.30829224836356,0.0266763039587975,1.1021406509299,0.478244136801275,76.8561752944684,0.00622258569293775,"0.004125"
"91",90,74.0314688836682,0.459903244174459,2.27311206475975,0.0260582384107854,1.09266025495735,0.485961482585244,77.8832026859706,0.00623961863182063,"0.004125"
"92",91,75.1051999182692,0.470241254939052,2.23892382872316,0.0255620351306017,1.0832428038144,0.495803290069653,78.9231698408764,0.0062821005677963,"0.004125"
"93",92,76.1880877278404,0.482736108213508,2.20575695262155,0.025183884373754,1.07389442815648,0.507919992587263,79.9756591012057,0.00635093224983007,"0.004125"
"94",93,77.2794384175589,0.497572679455233,2.17364507159199,0.0249213744678517,1.0646210223211,0.522494053923085,81.0401985653951,0.00644734419673787,"0.004125"
"95",94,78.3784523619225,0.514970702020126,2.14262675514573,0.0247735070526487,1.05542832572597,0.539744209072775,82.116251651867,0.00657292799190382,"0.004125"
"96",95,79.4842064339066,0.535189758023736,2.11274631872575,0.0247407382545703,1.04632200521917,0.559930496278307,83.2032052541298,0.00672967459087779,"0.004125"
"97",96,80.595633373008,0.558535219177326,2.08405475848166,0.0248250508481156,1.0373077396882,0.583360270025442,84.3003561412033,0.00692002141780174,"0.004125"
"98",97,81.7114977526622,0.585365295741646,2.05661083166506,0.0250300617922673,1.02839130888489,0.610395357533913,85.4068952507461,0.00714690957611623,"0.004125"
"99",98,82.8303680222679,0.616099355412837,2.03048230386968,0.0253611699154192,1.01957868850019,0.641460525328256,86.521889539966,0.00741385247986238,"0.004125"
"100",99,83.9505839543128,0.651227709947584,2.00574738938762,0.0258257504223463,1.01087615395139,0.67705346036993,87.6442609580218,0.00772501762202334,"0.004125"
"101",100,85.0702187218935,0.691323096306719,1.98249641479406,0.0264334052070115,1.00229039557167,0.71775650151373,88.7727620337729,0.00808532352796081,"0.004125"
"102",0,99,1,0,0,0,1,100,0.01,"0.0055"
"103",1,99.8728219434365,1.27704714613851,0.0372720894982719,0.000109708263719843,1.97674251059453e-06,1.27715685440223,101.18725286408,0.0126217168492337,"0.0055"
"104",2,100.579045904312,1.63813166382284,0.0839146176177777,0.000536850923710657,1.82875308221405e-05,1.63866851474655,102.301647324207,0.0160180071153048,"0.0055"
"105",3,101.061656729774,2.10862670997554,0.142611348390253,0.00150986374614978,7.25493087969753e-05,2.11013657372169,103.314477201194,0.0204244035384548,"0.0055"
"106",4,101.248030080415,2.72005568838566,0.216707560663041,0.00342295437689176,0.000205362787820298,2.72347864276255,104.188421646629,0.0261399357022573,"0.0055"
"107",5,101.047915627971,3.51002626611305,0.310255042827228,0.00694084404319652,0.000486080266615925,3.51696711015625,104.875623861222,0.0335346478111075,"0.0055"
"108",6,100.353169639568,4.52057923440375,0.427951687214666,0.0131611398859376,0.00103214311416999,4.53374037428969,105.315893844186,0.0430489663886564,"0.0055"
"109",7,99.0413090358966,5.79366904479922,0.574878330485083,0.0238414766307577,0.00203926356468864,5.81751052142998,105.435737151376,0.055175888921587,"0.0055"
"110",8,96.9853122431729,7.36244481970462,0.755927069548184,0.041678215590511,0.00382535010768934,7.40412303529513,105.149187698124,0.0704154087861512,"0.0055"
"111",9,94.0721988690194,9.23734218195242,0.974824498399334,0.0705736037339843,0.00689019379842454,9.30791578568641,104.361829346904,0.0891888906503014,"0.0055"
"112",10,90.2308498800244,11.3881427046387,1.2327764738019,0.115726673396088,0.011985644849893,11.5038693780348,102.979481376711,0.111710306016713,"0.0055"
"113",11,85.4647407910097,13.7269721210588,1.52700226407358,0.18328510482945,0.0201790556439355,13.9102572258883,100.922179336616,0.137831518476152,"0.0055"
"114",12,79.8790123337136,16.1013500347267,1.84970930990958,0.279279823415794,0.0328775648287283,16.3806298581425,98.1422290665944,0.166907049227784,"0.0055"
"115",13,73.6866112495352,18.3075474168224,2.18821881558533,0.407801549198371,0.051769444230668,18.7153489660208,94.641948475372,0.197748982005489,"0.0055"
"116",14,67.1833884310294,20.1273280710689,2.52661509855501,0.568868394042164,0.0786513018323396,20.6961964651111,90.4848512965279,0.228725539894933,"0.0055"
"117",15,60.6955851905225,21.3781619869067,2.8485839564312,0.756932665210633,0.1151496367369,22.1350946521174,85.794413435808,0.258001585017875,"0.0055"
"118",16,54.5189888873793,21.9563217180601,3.1403895206266,0.960955622762762,0.162402056281072,22.9172773408228,80.7390578051098,0.283843754978429,"0.0055"
"119",17,48.8731991262677,21.8546132724803,3.39286489603595,1.16627085096621,0.220797730016926,23.0208841234465,75.5077458757671,0.304881093408917,"0.0055"
"120",18,43.8841410426707,21.1506245042786,3.60190107300269,1.3575230637164,0.289860947454173,22.508147567995,70.2840506311225,0.320245452074559,"0.0055"
"121",19,39.5925172976698,19.975807524981,3.76768775934924,1.52151833952477,0.368304451330063,21.4973258645058,65.2258353728548,0.329582990261745,"0.0055"
"122",20,35.9765490884817,18.4807482470664,3.89335730086951,1.64909084515471,0.454217702139487,20.1298390922211,60.4539631837118,0.33297798906995,"0.0055"
"123",21,32.9772258908354,16.8078707346036,3.9836208629382,1.73570237644975,0.545323148938249,18.5435731110533,56.0497430137652,0.330841358300238,"0.0055"
"124",22,30.5189242641733,15.0755985782248,4.043717940387,1.78102552214885,0.639232642714709,16.8566241003737,52.0584989476487,0.323801577861957,"0.0055"
"125",23,28.523261297268,13.372700886619,4.07874735595277,1.78795646982516,0.733659632334123,15.1606573564441,48.496325641999,0.312614556994698,"0.0055"
"126",24,26.9169415598175,11.7593849897517,4.09331452444002,1.76147096224499,0.826567543745697,13.5208559519967,45.3576795799999,0.29809408411533,"0.0055"
"127",25,25.6353298145924,10.2718275824008,4.0913937901811,1.70758683883629,0.916254562291184,11.9794144212371,42.6223925883018,0.281059173213214,"0.0055"
"128",26,24.6233864893772,8.9277874657889,4.0763178711047,1.63255908090717,1.0013848998088,10.5603465466961,40.2614358069868,0.262294335386407,"0.0055"
"129",27,23.8352329495293,7.73191828476764,4.05082973214687,1.54232815185784,1.08098189766859,9.27424643662548,38.2412910159703,0.242519177314186,"0.0055"
"130",28,23.2330961950524,6.68020869728581,4.01715980807375,1.44219116990279,1.1543964819803,8.1223998671886,36.5270523522951,0.222366693836938,"0.0055"
"131",29,22.7860797694919,5.7634076993686,3.97710752048855,1.33664284988274,1.22126261773384,7.10005054925134,35.0845004569656,0.202370005466095,"0.0055"
"132",30,22.4689715445611,4.96945559022994,3.93211740839442,1.22934444221585,1.28144729273229,6.19880003244579,33.8813362781336,0.182956185126806,"0.0055"
"133",31,22.2612056522649,4.28521513059015,3.88334428334749,1.12315451776942,1.33500279960577,5.40836964835957,32.8879223835777,0.164448504386528,"0.0055"
"134",32,22.1459707643007,3.69754686807942,3.83170984839574,1.02021541606293,1.38212128990813,4.71776228414235,32.0775641867469,0.147073582541268,"0.0055"
"135",33,22.109484411303,3.19397219804974,3.77794860107175,0.922054270445282,1.42309582251103,4.11602646849502,31.4265553033808,0.130972880379678,"0.0055"
"136",34,22.1404073263063,2.76303974591933,3.72264506066622,0.829687172853737,1.45828781829426,3.59272691877306,30.9140671240398,0.116216572357095,"0.0055"
"137",35,22.229372954019,2.39448174412911,3.66626427394232,0.743720114789755,1.48810027089535,3.13820185891886,30.5219393577756,0.10281790492187,"0.0055"
"138",36,22.3686128503194,2.0792523626877,3.60917594843752,0.664437571407577,1.51295696405495,2.74368993409528,30.2344356969072,0.0907471851500752,"0.0055"
"139",37,22.5516570404255,1.80947871140418,3.55167416668317,0.591880717289739,1.5332862577825,2.40135942869392,30.0379768935851,0.07994411332032,"0.0055"
"140",38,22.7730954393777,1.57837291594795,3.49399296430841,0.525912002121967,1.54950922614674,2.10428491806992,29.9208825479028,0.0703283038092542,"0.0055"
"141",39,23.0283874275197,1.38012389818761,3.43631867000329,0.466267659127604,1.56203125058481,1.84639155731521,29.873128905423,0.0618077725691476,"0.0055"
"142",40,23.3137082673585,1.20978162012109,3.37879989404798,0.41260003751203,1.57123623223673,1.62238165763312,29.8861260512763,0.0542854451878295,"0.0055"
"143",41,23.6258259469844,1.06314566546798,3.32155531147617,0.364510200997316,1.57748307967328,1.42765586646529,29.9525202045992,0.0476639647252814,"0.0055"
"144",42,23.9620012433969,0.936660809408204,3.26467989160873,0.321572994870208,1.58110379856999,1.25823380427841,30.066018737854,0.0418490327984216,"0.0055"
"145",43,24.3199064930142,0.827322842742106,3.20824981851323,0.283355731435379,1.58240282281748,1.11067857417748,30.2212377085224,0.0367515912117746,"0.0055"
"146",44,24.6975593569128,0.732595577507398,3.15232634241249,0.249431633879289,1.58165728138646,0.982027211386688,30.4135701920985,0.0322891132209733,"0.0055"
"147",45,25.0932683891572,0.650338434000873,3.09695883571401,0.219389312776901,1.57911787780879,0.869727746777774,30.6390728494577,0.028386229278252,"0.0055"
"148",46,25.5055882274801,0.57874428909439,3.04218717962161,0.192839024347576,1.57501021300474,0.771583313441966,30.8943689335484,0.0249748850705314,"0.0055"
"149",47,25.933282493323,0.516286476258416,2.98804363686248,0.169416509651103,1.5695363756263,0.685702985909519,31.1765654917213,0.02199417976594,"0.0055"
"150",48,26.3752929266699,0.46167385516863,2.9345543234833,0.14878503291244,1.56287667357596,0.61045888808107,31.4831828118102,0.0193899991538362,"0.0055"
"151",49,26.8307137306778,0.413813071850856,2.88174035037213,0.130636024199606,1.55519143310599,0.544449096050461,31.8120946102064,0.0171145315239879,"0.0055"
"152",50,27.2987698159261,0.371776560214219,2.8296187369048,0.114688857313998,1.54662277537954,0.486465417528217,32.1614767457387,0.0151257176831183,"0.0055"
"153",51,27.7787987459844,0.334776057441835,2.77820310800606,0.100689866712757,1.53729635106594,0.435465924154592,32.5297641292109,0.013386691721,"0.0055"
"154",52,28.2702354532773,0.302140412852191,2.72750424430702,0.0884109354217506,1.52732299038166,0.390551348273941,32.9156140362399,0.0118652305208084,"0.0055"
"155",53,28.7725991931176,0.273296904126974,2.67753052972193,0.077647862262495,1.516800240257,0.350944766389469,33.317874729486,0.0105332278615864,"0.0055"
"156",54,29.2854825043071,0.247755731485713,2.62828829772062,0.0682185504304448,1.505813795905,0.315974281916158,33.7355588798489,0.00936620860622225,"0.0055"
"157",55,29.8085417903079,0.225097063534327,2.57978210999074,0.0599611505409386,1.49443881329789,0.285058214075266,34.1678209276718,0.00834288539145332,"0.0055"
"158",56,30.341489256239,0.204960207295855,2.53201498335488,0.0527322244256007,1.48274110294949,0.257692431721456,34.6139377742649,0.00744475920081673,"0.0055"
"159",57,30.8840859943974,0.187034564238314,2.4849885745391,0.046404966623303,1.47077821081684,0.233439530861617,35.073292310615,0.00665576327406726,"0.0055"
"160",58,31.4361360329343,0.171052057976064,2.43870333420732,0.0408675195201536,1.45860039023469,0.211919577496217,35.5453593348726,0.0059619478171461,"0.0055"
"161",59,31.9974812015799,0.156780788978458,2.39315863688528,0.03602139843319,1.44625147222437,0.192802187411648,36.0296934981012,0.00535120254136518,"0.0055"
"162",60,32.5679966805139,0.14401969333847,2.34835289240923,0.0317800337089331,1.43376964339966,0.175799727047403,36.5259189433702,0.00481301311871066,"0.0055"
"163",61,33.1475871833676,0.132594110378164,2.30428364177637,0.0280674441118437,1.42118813149057,0.160661554490008,37.0337205111245,0.00433825044507065,"0.0055"
"164",62,33.7361835863692,0.122351981743975,2.26094764397795,0.0248170224061459,1.40853581944116,0.147169004150121,37.5528360539384,0.00391898507848346,"0.0055"
"165",63,34.3337400030398,0.113160652286884,2.21834095319298,0.0219704404848096,1.39583778715175,0.135131092771694,38.0830498361562,0.00354832644320938,"0.0055"
"166",64,34.9402312550227,0.104904190421244,2.17645898700721,0.0194766688965844,1.38311578690799,0.124380859317829,38.6241868882558,0.00322028421407748,"0.0055"
"167",65,35.5556506477178,0.0974811101154194,2.13529659039342,0.0172910999534377,1.3703886622517,0.114772210068857,39.1761081104318,0.00292964808411624,"0.0055"
"168",66,36.1800080159324,0.0908024280715835,2.09484809463464,0.015374765946429,1.35767271674282,0.106177194018012,39.7387060213279,0.00267188352738579,"0.0055"
"169",67,36.8133280089716,0.0847900122168171,2.05510737185412,0.013693645473137,1.34498203729564,0.0984836576899541,40.3119010758113,0.00244304175843119,"0.0055"
"170",68,37.4556485797019,0.0793751727882731,2.01606788599698,0.0122180496939217,1.33232877744007,0.0915932224821948,40.8956384656212,0.00223968192987603,"0.0055"
"171",69,38.1070196505509,0.0744974582791095,1.97772274056521,0.0109220805654375,1.3197234052312,0.085419538844547,41.4898853351919,0.00205880392665472,"0.0055"
"172",70,38.7675019323598,0.0701036244594839,1.94006472345811,0.00978315371794531,1.3071749199986,0.0798867781774292,42.094628353994,0.0018977903191263,"0.0055"
"173",71,39.4371658751494,0.0661467501386568,1.90308634921853,0.00878157907858807,1.29469104169962,0.0749283292172449,42.7098715952848,0.00175435622769508,"0.0055"
"174",72,40.1160907329807,0.0625854779583891,1.86677989887693,0.00790019286589896,1.28227837622422,0.0704856708242881,43.3356346789062,0.00162650602319659,"0.0055"
"175",73,40.8043637270286,0.0593833619336302,1.83113745760968,0.00712403517118156,1.26994255961652,0.0665073971048118,43.9719511413596,0.00151249592930289,"0.0055"
"176",74,41.5020792929474,0.0565083065796949,1.79615095039467,0.0064400678504809,1.25768838384425,0.0629483744301758,44.6188670016165,0.00141080172268595,"0.0055"
"177",75,42.2093384001412,0.0539320849613489,1.76181217584725,0.00583692798242766,1.24551990643626,0.0597690129437765,45.2764394953685,0.00132009083774996,"0.0055"
"178",76,42.9262479318113,0.0516299251074219,1.72811283842172,0.00530471264198887,1.23344054603065,0.0569346377494108,45.9447359540131,0.00123919827956782,"0.0055"
"179",77,43.6529201156959,0.0495801560311504,1.69504457916725,0.00483479119077313,1.22145316563099,0.0544149472219236,46.6238328077161,0.00116710583289751,"0.0055"
"180",78,44.3894719962162,0.0477639060977169,1.66259900523943,0.00441964171228694,1.20956014514691,0.0521835478100038,47.3138146944126,0.00110292412791155,"0.0055"
"181",79,45.1360249393527,0.0461648477807282,1.63076771838164,0.00405270860409658,1.197763444601,0.0502175563848248,48.0147736587202,0.00104587718650434,"0.0055"
"182",80,45.8927041619929,0.0447689839744521,1.59954234260828,0.00372827868839612,1.18606465921192,0.0484972626628482,48.7268084264759,0.000995289127873539,"0.0055"
"183",81,46.6596382776132,0.0435644720138412,1.56891455134741,0.0034413735057396,1.17446506741796,0.0470058455195808,49.4500237418982,0.000950572759376727,"0.0055"
"184",82,47.4369588508888,0.0425414828461225,1.53887609430403,0.00318765595963965,1.16296567267223,0.0457291388057622,50.1845297566708,0.000911219832635447,"0.0055"
"185",83,48.2247999516574,0.0416920915855335,1.50941882440193,0.00296334871899011,1.15156724017179,0.0446554403045236,50.9304414565357,0.000876792720177634,"0.0055"
"186",84,49.0232977018733,0.0410102006565374,1.4805347250762,0.00276516413836179,1.14027032865677,0.0437753647948992,51.6878781204011,0.000846917427968883,"0.0055"
"187",85,49.8325898048486,0.0404914933908454,1.45221593838785,0.00259024347888043,1.129075318263,0.0430817368697258,52.4569627983692,0.000821277759357147,"0.0055"
"188",86,50.6528150473296,0.0401334183571693,1.42445479435839,0.00243610410438521,1.11798243501307,0.0425695224615545,53.2378217991626,0.000799610521672847,"0.0055"
"189",87,51.4841127589494,0.039935206387755,1.39724384233152,0.00230059397896008,1.10699177231533,0.0422358003667151,54.030584173963,0.000781701716026758,"0.0055"
"190",88,52.3266222287595,0.0398979191352253,1.3705758842802,0.00218185252682935,1.09610330985322,0.0420797716620547,54.835381194555,0.00076738358967099,"0.0055"
"191",89,53.1804820677446,0.0400245365728394,1.3444440104883,0.00207827869917342,1.08531692951022,0.0421028152720129,55.6523458230151,0.000756532624984178,"0.0055"
"192",90,54.0458294566973,0.0403200855975779,1.31884164100299,0.00198850052035948,1.07463243097106,0.0423085861179374,56.4816121147893,0.000749068316817026,"0.0055"
"193",91,54.9227993154184,0.0407918138224257,1.2937625706696,0.00191135174383753,1.06404954453578,0.0427031655662632,57.32331459619,0.000744952832317576,"0.0055"
"194",92,55.8115233430743,0.0414494170044997,1.26920102040537,0.00184585211180187,1.05356794273281,0.0432952691163015,58.1775875753288,0.00074419155074525,"0.0055"
"195",93,56.7121289036332,0.0423053295216769,1.24515169590903,0.00179119082035611,1.04318725093722,0.044096520342033,59.0445643708215,0.000746834544583828,"0.0055"
